Start Location,Start Geofence,End Location,End Geofence,Distance,Registration
"Makuburi, Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,10.48,DFP8546
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Chole Road, Msasani, Kinondoni, Dar es Salaam, Tanzania",,5.36,DFP8546
"Chole Road, Msasani, Kinondoni, Dar es Salaam, Tanzania",,"Amani Street, Jangwani, Ilala, Dar es Salaam, Tanzania",,8.74,DFP8546
"Amani Street, Jangwani, Ilala, Dar es Salaam, Tanzania",,"Mwananyamala, Kinondoni, Dar es Salaam, Tanzania",,8.92,DFP8546
"Mwananyamala, Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,3.23,DFP8546
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",,"Kijito Nyama, Kinondoni, Dar es Salaam, Tanzania",,2.43,DFP8546
"Kijito Nyama, Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,2.44,DFP8546
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Ubungo, Kinondoni, Dar es Salaam, Tanzania",,11.06,DFP8546
"Morogoro Road, Ubungo, Kinondoni, Dar es Salaam, Tanzania",,"Makuburi, Kinondoni, Dar es Salaam, Tanzania",,3.26,DFP8546
"Makuburi, Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,10.41,DFP8546
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Nelson Mandela Road, Buguruni, Ilala, Dar es Salaam, Tanzania",,12.02,DFP8546
"Nelson Mandela Road, Buguruni, Ilala, Dar es Salaam, Tanzania",,"Nelson Mandela Road, Buguruni, Ilala, Dar es Salaam, Tanzania",,0.0,DFP8546
"Nelson Mandela Road, Buguruni, Ilala, Dar es Salaam, Tanzania",,"Buguruni, Ilala, Dar es Salaam, Tanzania",,0.0,DFP8546
"Buguruni, Ilala, Dar es Salaam, Tanzania",,"Buguruni, Ilala, Dar es Salaam, Tanzania",,0.0,DFP8546
"Buguruni, Ilala, Dar es Salaam, Tanzania",,"Buguruni, Ilala, Dar es Salaam, Tanzania",,0.0,DFP8546
"Buguruni, Ilala, Dar es Salaam, Tanzania",,"Buguruni, Ilala, Dar es Salaam, Tanzania",,0.0,DFP8546
"Buguruni, Ilala, Dar es Salaam, Tanzania",,"Nelson Mandela Road, Buguruni, Ilala, Dar es Salaam, Tanzania",,0.0,DFP8546
"Nelson Mandela Road, Buguruni, Ilala, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,12.02,DFP8546
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",,0.0,DFP8546
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",,0.0,DFP8546
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,0.0,DFP8546
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,0.0,DFP8546
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,0.0,DFP8546
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,0.0,DFP8546
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,0.0,DFP8546
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Bridge Street, Kivukoni, Ilala, Dar es Salaam, Tanzania",,10.25,DFP8546
"Bridge Street, Kivukoni, Ilala, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,11.08,DFP8546
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,0.0,DFP8546
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,0.0,DFP8546
