,Start Time,Start Location,End Time,End Location,Registration,Start Geofence,End Geofence,Trip Distance
403,2024-01-11 14:27:23,"Kijito Nyama, Kinondoni, Dar es Salaam, Tanzania",2024-01-11 14:54:47,"Kimara, Kinondoni, Dar es Salaam, Tanzania",MC473DKX,Isanga,Out of Route,4.1
404,2024-01-17 19:22:43,"Makuburi, Kinondoni, Dar es Salaam, Tanzania",2024-01-17 19:29:02,"Makuburi, Kinondoni, Dar es Salaam, Tanzania",MC473DKX,Sanku : Mikocheni,Isanga,5.1
405,2023-12-01 15:10:18,"Kihonda, Morogoro Urban, Morogoro, Tanzania",2023-12-01 15:10:29,"Kihonda, Morogoro Urban, Morogoro, Tanzania",T457EBA,Mujalya Mini Miller,Mama Happy,0.6
406,2024-01-17 10:35:03,"Kilakala, Morogoro Urban, Morogoro, Tanzania",2024-01-17 10:40:33,"Kilakala, Morogoro Urban, Morogoro, Tanzania",T934DMX,Out of Route,Out of Route,0.0
407,2023-10-11 14:34:24,"Ubungo, Kinondoni, Dar es Salaam, Tanzania",2023-10-11 14:39:38,"Ubungo, Kinondoni, Dar es Salaam, Tanzania",T141DKS,PSR Mill - A,Out of Route,23.5
408,2023-10-17 11:08:46,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",2023-10-17 11:45:55,"Sandali, Temeke, Dar es Salaam, Tanzania",T191DWL,Out of Route,Out of Route,18.0
409,2023-10-25 09:24:32,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",2023-10-25 09:41:11,"Chole Road, Msasani, Kinondoni, Dar es Salaam, Tanzania",DFP8546,Out of Route,Sanku : Mikocheni,5.2
410,2023-12-28 16:26:22,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",2023-12-28 16:52:53,"Ubungo, Kinondoni, Dar es Salaam, Tanzania",T258DXJ,Out of Route,Out of Route,0.0
411,2023-11-23 13:12:59,"A7, Kingolwira, Morogoro Urban, Morogoro, Tanzania",2023-11-23 13:16:10,"A7, Kingolwira, Morogoro Urban, Morogoro, Tanzania",T863DQM,Out of Route,Out of Route,1.0
412,2024-01-05 14:12:43,"Yombo Vituka, Temeke, Dar es Salaam, Tanzania",2024-01-05 14:14:48,"Yombo Vituka, Temeke, Dar es Salaam, Tanzania",MC473DKX,Out of Route,Out of Route,0.0
413,2023-11-24 00:41:37,"Nyerere Road, Kipawa, Ilala, Dar es Salaam, Tanzania",2023-11-24 01:05:17,"Makuburi, Kinondoni, Dar es Salaam, Tanzania",MC315DKY,Out of Route,Sanku : Mikocheni,1.9
414,2023-10-27 11:40:16,"Mji mkuu, Morogoro Urban, Morogoro, Tanzania",2023-10-27 11:49:44,"Kilakala, Morogoro Urban, Morogoro, Tanzania",T453EAJ,Out of Route,Sanku : Dodoma,6.6
